,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"eta_inducing[41, 0]",0.307,0.933,-1.49,2.011,0.014,0.025,4353.989,1386.592,1.004
"eta_inducing[41, 1]",-0.046,0.953,-1.704,1.795,0.014,0.024,4585.417,1421.85,1.0
"eta_inducing[42, 0]",0.214,0.96,-1.539,2.01,0.016,0.022,3688.266,1566.208,1.01
"eta_inducing[42, 1]",-0.023,0.971,-1.904,1.709,0.013,0.026,5398.686,1333.78,1.003
"eta_inducing[43, 0]",0.196,0.949,-1.589,1.975,0.013,0.023,5087.908,1403.078,1.004
"eta_inducing[43, 1]",-0.014,0.997,-1.849,1.862,0.015,0.027,4425.099,1267.549,1.004
"eta_inducing[44, 0]",0.154,0.949,-1.666,1.916,0.016,0.026,3704.026,1609.68,1.006
"eta_inducing[44, 1]",-0.031,1.031,-1.983,1.852,0.018,0.025,3317.805,1389.675,1.002
"eta_inducing[45, 0]",0.128,0.948,-1.577,1.943,0.016,0.024,3697.356,1466.577,1.003
"eta_inducing[45, 1]",-0.011,1.023,-1.852,2.059,0.016,0.026,4219.623,1305.336,1.004
"eta_inducing[46, 0]",0.065,0.995,-1.894,1.867,0.015,0.032,4271.005,1198.755,1.006
"eta_inducing[46, 1]",0.003,0.986,-1.918,1.845,0.018,0.024,2939.417,1343.782,1.001
"eta_inducing[47, 0]",0.067,0.997,-1.79,1.939,0.015,0.024,4601.524,1359.044,1.004
"eta_inducing[47, 1]",-0.003,0.975,-1.844,1.738,0.016,0.022,3602.782,1568.656,1.002
"eta_inducing[48, 0]",0.048,0.972,-1.804,1.864,0.014,0.026,4594.814,1211.14,1.003
"eta_inducing[48, 1]",0.03,0.96,-1.736,1.762,0.015,0.025,4299.81,1310.824,1.003
"eta_inducing[49, 0]",0.012,1.014,-1.707,2.112,0.013,0.029,5943.241,1204.82,0.999
"eta_inducing[49, 1]",-0.009,0.987,-1.859,1.822,0.014,0.028,4901.492,1162.596,1.001
"K_uu_weight[0, 0]",1.026,0.471,0.317,1.901,0.012,0.014,1598.461,1418.08,1.002
"K_uu_weight[0, 1]",1.02,0.469,0.315,1.892,0.012,0.014,1594.621,1397.96,1.002
"K_uu_weight[0, 2]",1.002,0.463,0.296,1.853,0.012,0.014,1580.53,1358.013,1.002
"K_uu_weight[0, 3]",0.974,0.453,0.281,1.804,0.012,0.014,1555.736,1337.667,1.002
"K_uu_weight[0, 4]",0.936,0.441,0.289,1.77,0.011,0.013,1524.543,1396.627,1.002
"K_uu_weight[0, 5]",0.889,0.426,0.267,1.699,0.011,0.013,1486.411,1374.59,1.002
"K_uu_weight[0, 6]",0.836,0.408,0.232,1.596,0.011,0.013,1424.716,1392.818,1.002
"K_uu_weight[0, 7]",0.777,0.39,0.211,1.51,0.011,0.012,1387.166,1434.981,1.003
"K_uu_weight[0, 8]",0.715,0.37,0.174,1.396,0.01,0.012,1317.397,1261.086,1.002
"K_uu_weight[0, 9]",0.652,0.35,0.16,1.315,0.01,0.011,1243.686,1137.655,1.002
"K_uu_weight[0, 10]",0.588,0.329,0.112,1.195,0.009,0.011,1180.972,1124.353,1.002
"K_uu_weight[0, 11]",0.526,0.307,0.089,1.1,0.009,0.01,1125.734,1103.425,1.003
"K_uu_weight[0, 12]",0.466,0.286,0.067,0.999,0.008,0.009,1078.71,1104.321,1.003
"K_uu_weight[0, 13]",0.41,0.264,0.048,0.893,0.008,0.009,1040.802,1105.155,1.003
"K_uu_weight[0, 14]",0.357,0.242,0.033,0.801,0.007,0.008,1008.091,1053.999,1.003
"K_uu_weight[0, 15]",0.308,0.221,0.002,0.693,0.007,0.008,987.182,1016.732,1.004
"K_uu_weight[0, 16]",0.264,0.2,0.006,0.62,0.006,0.007,965.01,1064.698,1.005
"K_uu_weight[0, 17]",0.225,0.18,0.003,0.54,0.005,0.007,948.89,1019.67,1.005
"K_uu_weight[0, 18]",0.19,0.161,0.0,0.471,0.005,0.006,934.559,968.539,1.005
"K_uu_weight[0, 19]",0.159,0.143,0.0,0.401,0.004,0.006,922.275,929.533,1.005
"K_uu_weight[0, 20]",0.133,0.126,0.0,0.348,0.004,0.005,914.007,949.546,1.005
"K_uu_weight[0, 21]",0.11,0.11,0.0,0.303,0.003,0.005,905.625,886.689,1.004
"K_uu_weight[0, 22]",0.09,0.096,0.0,0.257,0.003,0.004,900.14,890.706,1.004
"K_uu_weight[0, 23]",0.074,0.083,0.0,0.218,0.002,0.004,895.39,890.706,1.004
"K_uu_weight[0, 24]",0.06,0.071,0.0,0.185,0.002,0.003,892.208,912.05,1.003
"K_uu_weight[0, 25]",0.049,0.061,0.0,0.157,0.002,0.003,888.796,950.359,1.003
"K_uu_weight[0, 26]",0.039,0.052,0.0,0.13,0.002,0.003,887.481,950.359,1.003
"K_uu_weight[0, 27]",0.031,0.044,0.0,0.108,0.001,0.002,884.089,922.075,1.003
"K_uu_weight[0, 28]",0.025,0.037,0.0,0.087,0.001,0.002,884.194,919.659,1.003
"K_uu_weight[0, 29]",0.02,0.03,0.0,0.07,0.001,0.002,882.739,938.571,1.003
"K_uu_weight[0, 30]",0.015,0.025,0.0,0.057,0.001,0.001,881.187,938.571,1.003
"K_uu_weight[0, 31]",0.012,0.021,0.0,0.047,0.001,0.001,880.758,938.571,1.003
"K_uu_weight[0, 32]",0.009,0.017,0.0,0.037,0.0,0.001,878.2,918.836,1.003
"K_uu_weight[0, 33]",0.007,0.014,0.0,0.029,0.0,0.001,878.384,918.58,1.003
"K_uu_weight[0, 34]",0.006,0.011,0.0,0.023,0.0,0.001,878.255,918.58,1.003
"K_uu_weight[0, 35]",0.004,0.009,0.0,0.018,0.0,0.001,877.787,920.03,1.003
"K_uu_weight[0, 36]",0.003,0.007,0.0,0.014,0.0,0.001,875.653,928.131,1.003
"K_uu_weight[0, 37]",0.003,0.006,0.0,0.011,0.0,0.0,874.545,928.131,1.003
"K_uu_weight[0, 38]",0.002,0.005,0.0,0.008,0.0,0.0,875.21,928.131,1.003
"K_uu_weight[0, 39]",0.001,0.004,0.0,0.006,0.0,0.0,874.513,928.131,1.003
"K_uu_weight[0, 40]",0.001,0.003,0.0,0.005,0.0,0.0,873.96,928.131,1.003
"K_uu_weight[0, 41]",0.001,0.002,0.0,0.004,0.0,0.0,873.793,928.131,1.003
